stockcode,stockname,date,lagclose,close,marketvalue,region
FCHI.GI,法国CAC40,20200211,6015.67,6054.76,0,法国
FCHI.GI,法国CAC40,20200212,6054.76,6104.73,0,法国
FCHI.GI,法国CAC40,20200213,6104.73,6093.14,0,法国
FCHI.GI,法国CAC40,20200214,6093.14,6069.35,0,法国
FCHI.GI,法国CAC40,20200217,6069.35,6085.95,0,法国
FCHI.GI,法国CAC40,20200218,6085.95,6056.82,0,法国
FCHI.GI,法国CAC40,20200219,6056.82,6111.24,0,法国
FCHI.GI,法国CAC40,20200220,6111.24,6062.3,0,法国
FCHI.GI,法国CAC40,20200221,6062.3,6029.72,0,法国
FCHI.GI,法国CAC40,20200224,6029.72,5791.87,0,法国
FCHI.GI,法国CAC40,20200225,5791.87,5679.68,0,法国
FCHI.GI,法国CAC40,20200226,5679.68,5684.55,0,法国
FCHI.GI,法国CAC40,20200227,5684.55,5495.6,0,法国
FCHI.GI,法国CAC40,20200228,5495.6,5309.9,0,法国
FCHI.GI,法国CAC40,20200302,5309.9,5333.52,0,法国
FCHI.GI,法国CAC40,20200303,5333.52,5393.17,0,法国
FCHI.GI,法国CAC40,20200304,5393.17,5464.89,0,法国
FCHI.GI,法国CAC40,20200305,5464.89,5361.1,0,法国
FCHI.GI,法国CAC40,20200306,5361.1,5139.11,0,法国
FCHI.GI,法国CAC40,20200309,5139.11,4707.91,0,法国
FCHI.GI,法国CAC40,20200310,4707.91,4636.61,0,法国
FCHI.GI,法国CAC40,20200311,4636.61,4610.25,0,法国
FCHI.GI,法国CAC40,20200312,4610.25,4044.26,0,法国
FCHI.GI,法国CAC40,20200313,4044.26,4118.36,0,法国
FCHI.GI,法国CAC40,20200316,4118.36,3881.46,0,法国
FCHI.GI,法国CAC40,20200317,3881.46,3991.78,0,法国
FCHI.GI,法国CAC40,20200318,3991.78,3754.84,0,法国
FCHI.GI,法国CAC40,20200319,3754.84,3855.5,0,法国
FCHI.GI,法国CAC40,20200320,3855.5,4048.8,0,法国
FCHI.GI,法国CAC40,20200323,4048.8,3914.31,0,法国
FCHI.GI,法国CAC40,20200324,3914.31,4242.7,0,法国
FCHI.GI,法国CAC40,20200325,4242.7,4432.3,0,法国
FCHI.GI,法国CAC40,20200326,4432.3,4543.58,0,法国
FCHI.GI,法国CAC40,20200327,4543.58,4351.49,0,法国
FCHI.GI,法国CAC40,20200330,4351.49,4378.51,0,法国
FCHI.GI,法国CAC40,20200331,4378.51,4396.12,0,法国
FCHI.GI,法国CAC40,20200401,4396.12,4207.24,0,法国
FTSE.GI,富时100,20190102,6728.13,6734.23,0,英国
FTSE.GI,富时100,20190103,6734.23,6692.66,0,英国
FTSE.GI,富时100,20190104,6692.66,6837.42,0,英国
FTSE.GI,富时100,20190107,6837.42,6810.88,0,英国
FTSE.GI,富时100,20190108,6810.88,6861.6,0,英国
FTSE.GI,富时100,20190109,6861.6,6906.63,0,英国
FTSE.GI,富时100,20190110,6906.63,6942.87,0,英国
FTSE.GI,富时100,20190111,6942.87,6918.18,0,英国
FTSE.GI,富时100,20190114,6918.18,6855.02,0,英国
FTSE.GI,富时100,20190115,6855.02,6895.02,0,英国
FTSE.GI,富时100,20190116,6895.02,6862.68,0,英国
FTSE.GI,富时100,20190117,6862.68,6834.92,0,英国
FTSE.GI,富时100,20190118,6834.92,6968.33,0,英国
FTSE.GI,富时100,20190121,6968.33,6970.59,0,英国
FTSE.GI,富时100,20190122,6970.59,6901.39,0,英国
FTSE.GI,富时100,20190123,6901.39,6842.88,0,英国
FTSE.GI,富时100,20190124,6842.88,6818.95,0,英国
FTSE.GI,富时100,20190125,6818.95,6809.22,0,英国
FTSE.GI,富时100,20190128,6809.22,6747.1,0,英国
FTSE.GI,富时100,20190129,6747.1,6833.93,0,英国
FTSE.GI,富时100,20190130,6833.93,6941.63,0,英国
FTSE.GI,富时100,20190131,6941.63,6968.85,0,英国
FTSE.GI,富时100,20190201,6968.85,7020.22,0,英国
FTSE.GI,富时100,20190204,7020.22,7034.13,0,英国
FTSE.GI,富时100,20190205,7034.13,7177.37,0,英国
FTSE.GI,富时100,20190206,7177.37,7173.09,0,英国
FTSE.GI,富时100,20190207,7173.09,7093.58,0,英国
FTSE.GI,富时100,20190208,7093.58,7071.18,0,英国
FTSE.GI,富时100,20190211,7071.18,7129.11,0,英国
FTSE.GI,富时100,20190212,7129.11,7133.14,0,英国
FTSE.GI,富时100,20190213,7133.14,7190.84,0,英国
FTSE.GI,富时100,20190214,7190.84,7197.01,0,英国
FTSE.GI,富时100,20190215,7197.01,7236.68,0,英国
FTSE.GI,富时100,20190218,7236.68,7219.47,0,英国
FTSE.GI,富时100,20190219,7219.47,7179.17,0,英国
FTSE.GI,富时100,20190220,7179.17,7228.62,0,英国
FTSE.GI,富时100,20190221,7228.62,7167.39,0,英国
FTSE.GI,富时100,20190222,7167.39,7178.6,0,英国
FTSE.GI,富时100,20190225,7178.6,7183.74,0,英国
FTSE.GI,富时100,20190226,7183.74,7151.12,0,英国
FTSE.GI,富时100,20190227,7151.12,7107.2,0,英国
FTSE.GI,富时100,20190228,7107.2,7074.73,0,英国
FTSE.GI,富时100,20190301,7074.73,7106.73,0,英国
FTSE.GI,富时100,20190304,7106.73,7134.39,0,英国
FTSE.GI,富时100,20190305,7134.39,7183.43,0,英国
FTSE.GI,富时100,20190306,7183.43,7196,0,英国
FTSE.GI,富时100,20190307,7196,7157.55,0,英国
FTSE.GI,富时100,20190308,7157.55,7104.31,0,英国
FTSE.GI,富时100,20190311,7104.31,7130.62,0,英国
FTSE.GI,富时100,20190312,7130.62,7151.15,0,英国
FTSE.GI,富时100,20190313,7151.15,7159.19,0,英国
FTSE.GI,富时100,20190314,7159.19,7185.43,0,英国
FTSE.GI,富时100,20190315,7185.43,7228.28,0,英国
FTSE.GI,富时100,20190318,7228.28,7299.19,0,英国
FTSE.GI,富时100,20190319,7299.19,7324,0,英国
FTSE.GI,富时100,20190320,7324,7291.01,0,英国
FTSE.GI,富时100,20190321,7291.01,7355.31,0,英国
